custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
5621-QSZPSF-NF2,4.00,1.00,1.00,59.00,5.00,July,19.00,4.00,1.00,0.00,8.00,3.00,0.00,47.00,3.85,2.00,8.60,1.36,0.31,2.68,0.99,0.00,3.00,0.00,-1.00,-1.00,1.00,7.00,3.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,2.00,14.00,3.00,3.00,1.00,0.00,28.00,2.00,0.00,1.00,1.00,1.00,17.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,4.00,0.00,0.00,1.00,4.00,3.00,4.00,0.00,16.00,5.00,1.00,1.00,4.00,0.00,17.00,5.00,11.00,488.97,7.00,322.07,0.00,3.00,50.00,1.00,8.55,2.15,446.55,6.10,0.00,0.00,#NULL!,0.00,#NULL!,1.00,31.20,3.44,1568.35,7.36,1.00,19.00,2.94,930.00,6.84,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,1.00,1.00,26.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
8241-PWPONH-62O,2.00,4.00,1.00,33.00,3.00,October,8.00,1.00,2.00,0.00,4.00,2.00,0.00,19.00,2.94,1.00,0.90,0.13,-2.04,0.04,-3.20,0.00,4.00,1.00,9.00,1.00,5.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,2.00,5.00,2.00,2.00,1.00,1.00,9.30,1.00,0.00,1.00,4.00,3.00,28.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,3.00,2.00,1.00,0.00,6.00,3.00,2.00,2.00,3.00,0.00,2.00,2.00,14.00,338.26,2.00,55.17,0.00,3.00,9.00,1.00,3.60,1.28,37.00,3.61,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,27.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8795-FYOXCT-P09,5.00,2.00,0.00,44.00,4.00,March,10.00,1.00,1.00,0.00,12.00,4.00,0.00,73.00,4.29,3.00,2.80,1.25,0.22,0.79,-0.23,0.00,5.00,0.00,-1.00,-1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,9.00,3.00,1.00,1.00,1.00,38.50,2.00,0.00,1.00,1.00,1.00,25.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,4.00,1.00,0.00,1.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,0.00,1.00,1.00,12.00,534.36,5.00,198.39,0.00,3.00,5.00,0.00,6.75,1.91,29.90,3.40,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,7.00,1.95,30.00,3.40,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,21.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1705-NMIQNO-IC4,3.00,2.00,0.00,58.00,5.00,January,18.00,4.00,1.00,0.00,3.00,2.00,0.00,63.00,4.14,3.00,10.50,1.92,0.65,4.69,1.55,0.00,3.00,0.00,-1.00,-1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,32.00,5.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,3.00,2.00,16.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,4.00,0.00,0.00,1.00,4.00,3.00,4.00,0.00,25.00,5.00,3.00,4.00,1.00,0.00,17.00,5.00,10.00,593.50,5.00,384.94,1.00,1.00,58.00,0.00,12.10,2.49,680.75,6.52,1.00,30.75,3.43,1776.70,7.48,0.00,0.00,#NULL!,0.00,#NULL!,1.00,24.50,3.20,1415.00,7.25,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,21.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
9205-PAZEXY-90Q,2.00,1.00,1.00,72.00,6.00,December,20.00,5.00,4.00,1.00,27.00,5.00,1.00,17.00,2.83,1.00,9.80,1.28,0.24,0.39,-0.94,0.00,4.00,1.00,17.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,14.00,3.00,1.00,1.00,1.00,9.30,1.00,0.00,0.00,10.00,5.00,32.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,9.00,3.00,1.00,0.00,1.00,3.00,2.00,2.00,0.00,33.00,5.00,4.00,4.00,3.00,1.00,26.00,5.00,12.00,233.17,3.00,39.93,1.00,3.00,67.00,0.00,13.90,2.63,954.05,6.86,0.00,0.00,#NULL!,0.00,#NULL!,1.00,38.55,3.65,2580.75,7.86,1.00,23.25,3.15,1525.00,7.33,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,24.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00
4225-PZZDIY-IBH,3.00,1.00,1.00,66.00,6.00,December,13.00,2.00,6.00,1.00,31.00,5.00,1.00,23.00,3.14,1.00,9.30,0.93,-0.07,1.20,0.19,0.00,5.00,1.00,12.00,2.00,2.00,9.00,3.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,2.00,29.00,5.00,3.00,1.00,0.00,11.60,1.00,0.00,1.00,1.00,1.00,14.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,1.00,1.00,1.00,3.00,3.00,4.00,0.00,40.00,5.00,4.00,2.00,1.00,0.00,30.00,5.00,9.00,297.47,4.00,98.65,0.00,2.00,72.00,0.00,38.70,3.66,2854.90,7.96,1.00,27.00,3.30,1919.00,7.56,0.00,0.00,#NULL!,0.00,#NULL!,1.00,68.50,4.23,4865.00,8.49,1.00,43.25,3.77,3159.25,8.06,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,22.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00
0758-EQEGIQ-3OF,1.00,1.00,1.00,57.00,5.00,October,17.00,4.00,4.00,0.00,24.00,5.00,0.00,171.00,5.14,5.00,9.50,1.80,0.59,14.44,2.67,0.00,5.00,1.00,16.00,3.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,8.00,3.00,2.00,1.00,1.00,75.80,3.00,0.00,1.00,1.00,1.00,19.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,5.00,1.00,0.00,0.00,4.00,1.00,1.00,0.00,19.00,5.00,3.00,2.00,4.00,0.00,13.00,4.00,14.00,305.94,4.00,96.23,1.00,3.00,48.00,0.00,4.15,1.42,214.85,5.37,1.00,28.75,3.36,1444.65,7.28,1.00,43.15,3.76,1990.25,7.60,1.00,29.25,3.38,1315.00,7.18,1.00,40.20,3.69,1840.45,7.52,0.00,1.00,1.00,3.00,1.00,1.00,0.00,1.00,1.00,1.00,17.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00
0649-TBFJFL-QU4,5.00,2.00,0.00,63.00,5.00,May,14.00,2.00,6.00,1.00,29.00,5.00,0.00,424.00,6.05,5.00,10.70,13.11,2.57,32.26,3.47,0.00,4.00,1.00,20.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,29.00,5.00,3.00,1.00,0.00,88.60,3.00,0.00,1.00,1.00,1.00,29.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,9.00,3.00,0.00,0.00,1.00,3.00,3.00,2.00,0.00,36.00,5.00,2.00,3.00,3.00,1.00,29.00,5.00,10.00,495.75,10.00,798.31,0.00,1.00,70.00,0.00,34.80,3.55,2540.15,7.84,1.00,45.25,3.81,3165.45,8.06,0.00,0.00,#NULL!,0.00,#NULL!,1.00,19.75,2.98,1325.00,7.19,0.00,0.00,#NULL!,0.00,#NULL!,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,24.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2228-KOLOPU-FY3,5.00,5.00,1.00,28.00,3.00,April,11.00,1.00,1.00,0.00,4.00,2.00,0.00,23.00,3.14,1.00,4.80,0.19,-1.66,0.91,-0.09,0.00,1.00,1.00,12.00,2.00,3.00,10.00,1.00,0.00,0.00,0.00,0.00,0.00,9.00,1.00,1.00,5.00,2.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,4.00,3.00,30.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,9.00,5.00,1.00,0.00,0.00,2.00,2.00,4.00,0.00,10.00,3.00,3.00,3.00,3.00,0.00,10.00,3.00,17.00,442.09,7.00,144.69,1.00,1.00,34.00,0.00,3.45,1.24,110.45,4.70,1.00,33.00,3.50,1099.65,7.00,0.00,0.00,#NULL!,0.00,#NULL!,1.00,16.50,2.80,545.00,6.30,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,16.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
3853-NVDCOJ-TIN,1.00,1.00,1.00,78.00,6.00,June,16.00,3.00,1.00,0.00,10.00,3.00,1.00,22.00,3.09,1.00,15.20,0.69,-0.37,2.65,0.98,0.00,3.00,0.00,-1.00,-1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,29.00,5.00,2.00,1.00,1.00,10.80,1.00,0.00,1.00,3.00,2.00,23.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,2.00,0.00,1.00,0.00,2.00,3.00,1.00,0.00,10.00,3.00,3.00,2.00,2.00,0.00,7.00,3.00,1.00,8.11,0.00,0.00,1.00,1.00,14.00,0.00,7.30,1.99,85.60,4.45,0.00,0.00,#NULL!,0.00,#NULL!,1.00,24.85,3.21,341.75,5.83,1.00,31.75,3.46,350.00,5.86,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,22.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0765-UXAFYM-PDR,3.00,3.00,0.00,61.00,5.00,June,16.00,3.00,1.00,0.00,4.00,2.00,0.00,35.00,3.56,2.00,10.10,1.23,0.21,2.30,0.83,0.00,3.00,1.00,12.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,29.00,5.00,4.00,0.00,0.00,9.40,1.00,1.00,0.00,1.00,1.00,34.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,2.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,27.00,5.00,4.00,2.00,3.00,0.00,15.00,4.00,8.00,271.98,7.00,240.38,0.00,3.00,53.00,0.00,11.20,2.42,567.05,6.34,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,9.50,2.25,480.00,6.17,0.00,0.00,#NULL!,0.00,#NULL!,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,25.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
9937-SFPLRK-H9Y,2.00,4.00,0.00,70.00,6.00,September,17.00,4.00,2.00,1.00,2.00,2.00,0.00,28.00,3.33,2.00,9.30,1.20,0.18,1.41,0.34,0.00,1.00,1.00,17.00,4.00,2.00,9.00,0.00,0.00,1.00,0.00,0.00,0.00,8.00,0.00,2.00,14.00,3.00,5.00,1.00,0.00,15.70,1.00,0.00,1.00,1.00,1.00,29.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,6.00,1.00,0.00,1.00,1.00,1.00,3.00,1.00,26.00,5.00,4.00,2.00,4.00,0.00,17.00,5.00,8.00,267.71,3.00,79.54,1.00,2.00,59.00,1.00,14.25,2.66,805.80,6.69,1.00,23.50,3.16,1366.65,7.22,0.00,0.00,#NULL!,0.00,#NULL!,1.00,15.25,2.72,840.00,6.73,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,1.00,3.00,0.00,1.00,0.00,1.00,0.00,1.00,21.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
0712-WQXYVV-HUP,4.00,1.00,0.00,61.00,5.00,April,14.00,2.00,6.00,0.00,18.00,5.00,1.00,12.00,2.48,1.00,21.50,0.57,-0.57,2.01,0.70,0.00,5.00,0.00,-1.00,-1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,12.00,3.00,3.00,1.00,0.00,5.80,1.00,1.00,0.00,4.00,3.00,25.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,3.00,1.00,0.00,0.00,1.00,1.00,2.00,0.00,24.00,5.00,3.00,3.00,1.00,0.00,22.00,5.00,10.00,245.03,4.00,63.63,0.00,2.00,61.00,0.00,8.35,2.12,476.95,6.17,0.00,0.00,#NULL!,0.00,#NULL!,1.00,29.10,3.37,1790.80,7.49,1.00,11.50,2.44,675.00,6.51,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,1.00,13.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
